Site,Count,CountM,CountF,SiteRes.score1,SiteRes.score2,Area,Coralcover,Rugosity,Lionfish,Treatment
71,3,1,2,1.50,2.00,396,10.20151515,1.71,0,nonremoval
73,5,5,0,1.25,1.00,1053,6.166666667,1.65,0,nonremoval
78,10,6,4,4.50,2.57,775,9.095238095,2.07,1,nonremoval
84,12,5,7,5.00,1.82,1404,14.2037037,1.65,4,nonremoval
86,2,1,1,0.75,1.50,600,19.06349206,1.46,2,removal
90,0,0,0,0.00,0.00,840,9.666666667,1.69,0,removal
94,16,10,6,7.25,2.42,1188,11.32380952,1.63,2,nonremoval
99,38,25,12,21.00,3.11,1008,3.966666667,1.25,0,removal
102,0,0,0,0.00,0.00,396,51.25925926,1.57,0,nonremoval
107,16,7,9,6.25,2.27,630,5.895238095,1.6,2,removal
108,22,4,18,11.50,2.71,364,11.9,2.16,0,nonremoval
119,0,0,0,0.00,0.00,520,14.25833333,1.61,0,removal
E3,6,3,3,2.50,3.33,780,7.803703704,1.83,0,removal
F4,3,3,0,1.25,1.67,540,5.957575758,2.06,0,removal
F5,15,8,6,6.50,2.00,783,7.266666667,1.7,0,removal
New2,11,2,7,6.25,3.13,132,8.958333333,1.77,1,removal
