Date,Survey,Site,Treatment,Sex,TL,ID,Resscore,Resscore_extra,Proportionalrugosity,Absoluterugosity,Coralcover,HAS
2013-05-25,1,71,nonremoval,f,30,110,2,,0.382,1.71,10.20151515,0.517
2013-06-08,2,71,nonremoval,f,28,111,2,,0.382,1.71,10.20151515,0.517
2013-06-22,3,71,nonremoval,m,NA,112,2,,0.382,1.71,10.20151515,0.517
2013-07-06,4,71,nonremoval,NA,NA,NA,0,,0.382,1.71,10.20151515,0.517
2013-05-25,1,73,nonremoval,NA,NA,NA,0,,0.378,1.65,6.166666667,0.44
2013-06-08,2,73,nonremoval,NA,NA,NA,0,,0.378,1.65,6.166666667,0.44
2013-06-22,3,73,nonremoval,NA,NA,NA,0,,0.378,1.65,6.166666667,0.44
2013-07-06,4,73,nonremoval,m,30,113,1,+,0.378,1.65,6.166666667,0.44
2013-07-06,4,73,nonremoval,m,28,114,1,+,0.378,1.65,6.166666667,0.44
2013-07-06,4,73,nonremoval,m,28,115,1,+,0.378,1.65,6.166666667,0.44
2013-07-06,4,73,nonremoval,m,28,116,1,+,0.378,1.65,6.166666667,0.44
2013-07-06,4,73,nonremoval,m,28,117,1,+,0.378,1.65,6.166666667,0.44
2013-05-25,1,78,nonremoval,f,25,1,4,,0.367,2.07,9.095238095,0.411
2013-05-25,1,78,nonremoval,m,23,29,2,,0.367,2.07,9.095238095,0.411
2013-06-08,2,78,nonremoval,m,25,2,5,+,0.367,2.07,9.095238095,0.411
2013-06-08,2,78,nonremoval,m,23,30,2,,0.367,2.07,9.095238095,0.411
2013-06-22,3,78,nonremoval,f,23,1,4,,0.367,2.07,9.095238095,0.411
2013-06-22,3,78,nonremoval,m,30,2,5,+,0.367,2.07,9.095238095,0.411
2013-06-22,3,78,nonremoval,f,30,31,2,,0.367,2.07,9.095238095,0.411
2013-06-22,3,78,nonremoval,f,23,32,2,,0.367,2.07,9.095238095,0.411
2013-07-06,4,78,nonremoval,m,30,2,5,+,0.367,2.07,9.095238095,0.411
2013-07-06,4,78,nonremoval,m,25,33,1,+,0.367,2.07,9.095238095,0.411
2013-05-25,1,84,nonremoval,f,30,34,2,,0.373,1.65,14.2037037,0.454
2013-05-25,1,84,nonremoval,m,28,35,2,,0.373,1.65,14.2037037,0.454
2013-06-08,2,84,nonremoval,f,35,36,2,,0.373,1.65,14.2037037,0.454
2013-06-08,2,84,nonremoval,f,25,37,2,,0.373,1.65,14.2037037,0.454
2013-06-08,2,84,nonremoval,f,30,38,2,,0.373,1.65,14.2037037,0.454
2013-06-22,3,84,nonremoval,m,30,3,3,+,0.373,1.65,14.2037037,0.454
2013-06-22,3,84,nonremoval,f,30,39,2,,0.373,1.65,14.2037037,0.454
2013-06-22,3,84,nonremoval,m,25,40,2,,0.373,1.65,14.2037037,0.454
2013-07-06,4,84,nonremoval,m,30,3,3,+,0.373,1.65,14.2037037,0.454
2013-07-06,4,84,nonremoval,f,30,41,1,+,0.373,1.65,14.2037037,0.454
2013-07-06,4,84,nonremoval,f,30,42,1,+,0.373,1.65,14.2037037,0.454
