site,ID,sex,resscore,resscore.extra,proportionalrugosity,absoluterugosity,coralcover,HAS
78,1,f,4,,0.367,2.07,9.095238095,0.411
78,2,m,5,+,0.367,2.07,9.095238095,0.411
78,29,m,2,,0.367,2.07,9.095238095,0.411
78,30,m,2,,0.367,2.07,9.095238095,0.411
78,31,f,2,,0.367,2.07,9.095238095,0.411
78,32,f,2,,0.367,2.07,9.095238095,0.411
78,33,,1,+,0.367,2.07,9.095238095,0.411
84,3,m,3,+,0.373,1.65,14.2037037,0.454
84,34,f,2,,0.373,1.65,14.2037037,0.454
84,35,m,2,,0.373,1.65,14.2037037,0.454
84,36,f,2,,0.373,1.65,14.2037037,0.454
84,37,f,2,,0.373,1.65,14.2037037,0.454
84,38,f,2,,0.373,1.65,14.2037037,0.454
84,39,f,2,,0.373,1.65,14.2037037,0.454
84,40,m,2,,0.373,1.65,14.2037037,0.454
84,41,f,1,+,0.373,1.65,14.2037037,0.454
84,42,f,1,+,0.373,1.65,14.2037037,0.454
84,43,m,1,+,0.373,1.65,14.2037037,0.454
94,4,m,7,+,0.368,1.63,11.32380952,0.354
94,5,m,3,+,0.368,1.63,11.32380952,0.354
94,44,f,2,,0.368,1.63,11.32380952,0.354
94,45,m,2,,0.368,1.63,11.32380952,0.354
94,46,f,2,,0.368,1.63,11.32380952,0.354
94,47,m,2,,0.368,1.63,11.32380952,0.354
94,48,m,2,,0.368,1.63,11.32380952,0.354
94,49,f,2,,0.368,1.63,11.32380952,0.354
94,50,f,2,,0.368,1.63,11.32380952,0.354
94,51,m,2,,0.368,1.63,11.32380952,0.354
94,52,f,1,+,0.368,1.63,11.32380952,0.354
94,53,f,1,+,0.368,1.63,11.32380952,0.354
94,54,m,1,+,0.368,1.63,11.32380952,0.354
99,6,m,6,,0.192,1.25,3.966666667,0.359
99,7,m,6,,0.192,1.25,3.966666667,0.359
99,8,m,7,+,0.192,1.25,3.966666667,0.359
99,9,m,7,+,0.192,1.25,3.966666667,0.359
99,10,m,7,+,0.192,1.25,3.966666667,0.359
99,11,f,7,+,0.192,1.25,3.966666667,0.359
99,12,f,4,,0.192,1.25,3.966666667,0.359
99,13,f,3,+,0.192,1.25,3.966666667,0.359
99,25,f,7,+,0.192,1.25,3.966666667,0.359
99,55,f,2,,0.192,1.25,3.966666667,0.359
99,56,f,2,,0.192,1.25,3.966666667,0.359
99,57,m,2,,0.192,1.25,3.966666667,0.359
99,58,m,2,,0.192,1.25,3.966666667,0.359
99,59,m,2,,0.192,1.25,3.966666667,0.359
99,60,m,2,,0.192,1.25,3.966666667,0.359
99,61,NA,2,,0.192,1.25,3.966666667,0.359
99,62,m,2,,0.192,1.25,3.966666667,0.359
99,63,m,2,,0.192,1.25,3.966666667,0.359
99,64,m,2,,0.192,1.25,3.966666667,0.359
99,65,m,2,,0.192,1.25,3.966666667,0.359
99,66,m,2,,0.192,1.25,3.966666667,0.359
99,67,f,1,+,0.192,1.25,3.966666667,0.359
99,68,m,1,+,0.192,1.25,3.966666667,0.359
99,69,m,1,+,0.192,1.25,3.966666667,0.359
99,70,m,1,+,0.192,1.25,3.966666667,0.359
99,71,m,1,+,0.192,1.25,3.966666667,0.359
99,72,m,1,+,0.192,1.25,3.966666667,0.359
107,14,f,5,+,0.347,1.6,51.25925926,0.471
107,15,f,5,+,0.347,1.6,51.25925926,0.471
107,16,m,3,+,0.347,1.6,51.25925926,0.471
107,73,f,2,,0.347,1.6,51.25925926,0.471
107,74,m,2,,0.347,1.6,51.25925926,0.471
107,75,f,2,,0.347,1.6,51.25925926,0.471
107,76,m,2,,0.347,1.6,51.25925926,0.471
107,77,f,1,+,0.347,1.6,51.25925926,0.471
107,78,m,1,+,0.347,1.6,51.25925926,0.471
107,79,m,1,+,0.347,1.6,51.25925926,0.471
107,80,m,1,+,0.347,1.6,51.25925926,0.471
108,17,m,6,,0.466,2.16,11.9,0.467
108,18,f,6,,0.466,2.16,11.9,0.467
108,19,f,7,+,0.466,2.16,11.9,0.467
108,20,f,3,+,0.466,2.16,11.9,0.467
108,21,f,3,+,0.466,2.16,11.9,0.467
108,81,f,2,,0.466,2.16,11.9,0.467
108,82,f,2,,0.466,2.16,11.9,0.467
108,83,f,2,,0.466,2.16,11.9,0.467
108,84,m,2,,0.466,2.16,11.9,0.467
108,85,f,2,,0.466,2.16,11.9,0.467
108,86,f,2,,0.466,2.16,11.9,0.467
108,87,f,2,,0.466,2.16,11.9,0.467
108,88,f,2,,0.466,2.16,11.9,0.467
108,89,m,2,,0.466,2.16,11.9,0.467
108,90,f,1,+,0.466,2.16,11.9,0.467
108,91,f,1,+,0.466,2.16,11.9,0.467
108,92,f,1,+,0.466,2.16,11.9,0.467
119,NA,NA,0,,0.351,1.61,14.25833333,0.517
E3,22,f,5,+,0.436,1.83,7.803703704,0.508
E3,23,m,3,+,0.436,1.83,7.803703704,0.508
E3,93,m,2,,0.436,1.83,7.803703704,0.508
F5,24,m,4,,0.356,1.7,7.266666667,0.392
F5,29,f,4,,0.356,1.7,7.266666667,0.392
F5,94,m,2,,0.356,1.7,7.266666667,0.392
F5,95,m,2,,0.356,1.7,7.266666667,0.392
F5,96,NA,2,,0.356,1.7,7.266666667,0.392
F5,97,NA,2,,0.356,1.7,7.266666667,0.392
F5,98,f,2,,0.356,1.7,7.266666667,0.392
F5,99,m,2,,0.356,1.7,7.266666667,0.392
F5,100,f,2,,0.356,1.7,7.266666667,0.392
F5,101,f,1,+,0.356,1.7,7.266666667,0.392
F5,102,m,1,+,0.356,1.7,7.266666667,0.392
F5,103,m,1,+,0.356,1.7,7.266666667,0.392
F5,104,m,1,+,0.356,1.7,7.266666667,0.392
New2,26,f,7,+,0.409,1.77,8.958333333,0.49
New2,27,f,4,,0.409,1.77,8.958333333,0.49
New2,28,f,7,+,0.409,1.77,8.958333333,0.49
New2,105,f,2,,0.409,1.77,8.958333333,0.49
New2,106,m,2,,0.409,1.77,8.958333333,0.49
New2,107,NA,1,+,0.409,1.77,8.958333333,0.49
New2,108,f,1,+,0.409,1.77,8.958333333,0.49
New2,109,m,1,+,0.409,1.77,8.958333333,0.49
71,110,f,2,,0.382,1.71,10.20151515,0.517
71,111,f,2,,0.382,1.71,10.20151515,0.517
71,112,m,2,,0.382,1.71,10.20151515,0.517
